t,e_line,u_L,u_R,v,omega
18.18,-0.00377125690368052,0.500565688535552,0.499434311464448,0.5,-0.00565688535552056
18.19,-0.00381221255505725,0.500571831883259,0.499428168116741,0.5,-0.005718318832586
18.2,-0.00385256621387894,0.500577884932082,0.499422115067918,0.5,-0.00577884932081857
18.21,-0.00389231150783512,0.500583846726175,0.499416153273825,0.5,-0.00583846726175286
18.22,-0.00393144216068308,0.500589716324102,0.499410283675898,0.5,-0.00589716324102457
18.23,-0.00396995199323917,0.500595492798986,0.499404507201014,0.5,-0.00595492798985853
18.24,-0.00400783492435439,0.500601175238653,0.499398824761347,0.5,-0.00601175238653134
18.25,-0.00404508497187474,0.500606762745781,0.499393237254219,0.5,-0.00606762745781197
18.26,-0.00408169625358592,0.500612254438038,0.499387745561962,0.5,-0.0061225443803789
18.27,-0.00411766298814214,0.500617649448221,0.499382350551779,0.5,-0.00617649448221319
18.28,-0.00415297949597907,0.500622946924397,0.499377053075603,0.5,-0.00622946924396878
18.29,-0.0041876402002107,0.500628146030032,0.499371853969968,0.5,-0.00628146030031584
18.3,-0.00422163962751008,0.500633245944127,0.499366754055873,0.5,-0.00633245944126504
18.31,-0.00425497240897345,0.500638245861346,0.499361754138654,0.5,-0.00638245861346004
18.32,-0.00428763328096826,0.500643144992145,0.499356855007855,0.5,-0.00643144992145239
18.33,-0.00431961708596418,0.500647942562895,0.499352057437105,0.5,-0.00647942562894605
18.34,-0.00435091877334762,0.500652637816002,0.499347362183998,0.5,-0.00652637816002138
18.35,-0.00438153340021932,0.500657230010033,0.499342769989967,0.5,-0.006572300100329
18.36,-0.00441145613217476,0.500661718419826,0.499338281580174,0.5,-0.00661718419826207
18.37,-0.00444068224406772,0.50066610233661,0.49933389766339,0.5,-0.0066610233661013
18.38,-0.00446920712075631,0.500670381068113,0.499329618931887,0.5,-0.00670381068113457
18.39,-0.00449702625783186,0.500674553938675,0.499325446061325,0.5,-0.00674553938674771
18.4,-0.0045241352623301,0.50067862028935,0.49932137971065,0.5,-0.00678620289349507
18.41,-0.00455052985342498,0.500682579478014,0.499317420521986,0.5,-0.00682579478013756
18.42,-0.00457620586310459,0.500686430879466,0.499313569120534,0.5,-0.0068643087946571
18.43,-0.00460115923682935,0.500690173885524,0.499309826114476,0.5,-0.00690173885524392
18.44,-0.00462538603417229,0.500693807905126,0.499306192094874,0.5,-0.00693807905125854
18.45,-0.00464888242944126,0.500697332364416,0.499302667635584,0.5,-0.00697332364416187
18.46,-0.00467164471228306,0.500700746706843,0.499299253293158,0.5,-0.00700746706842476
18.47,-0.00469366928826937,0.50070405039324,0.49929594960676,0.5,-0.00704050393240396
18.48,-0.00471495267946432,0.50070724290192,0.49929275709808,0.5,-0.00707242901919675
18.49,-0.00473549152497372,0.500710323728746,0.499289676271254,0.5,-0.00710323728746048
18.5,-0.00475528258147577,0.500713292387221,0.499286707612779,0.5,-0.0071329238722137
18.51,-0.00477432272373322,0.50071614840856,0.49928385159144,0.5,-0.00716148408559963
18.52,-0.00479260894508688,0.500718891341763,0.499281108658237,0.5,-0.00718891341763034
18.53,-0.00481013835793043,0.50072152075369,0.49927847924631,0.5,-0.00721520753689586
18.54,-0.00482690819416637,0.500724036229125,0.499275963770875,0.5,-0.0072403622912498
18.55,-0.00484291580564315,0.500726437370846,0.499273562629154,0.5,-0.00726437370846461
18.56,-0.00485815866457337,0.500728723799686,0.499271276200314,0.5,-0.00728723799686026
18.57,-0.00487263436393289,0.50073089515459,0.49926910484541,0.5,-0.00730895154589906
18.58,-0.00488634061784097,0.500732951092676,0.499267048907324,0.5,-0.00732951092676126
18.59,-0.00489927526192123,0.500734891289288,0.499265108710712,0.5,-0.00734891289288164
18.6,-0.00491143625364345,0.500736715438047,0.499263284561953,0.5,-0.00736715438046542
18.61,-0.00492282167264602,0.500738423250897,0.499261576749103,0.5,-0.00738423250896902
18.62,-0.00493342972103934,0.500740014458156,0.499259985541844,0.5,-0.00740014458155885
18.63,-0.00494325872368957,0.500741488808553,0.499258511191447,0.5,-0.00741488808553431
18.64,-0.00495230712848326,0.500742846069272,0.499257153930728,0.5,-0.00742846069272468
18.65,-0.00496057350657239,0.500744086025986,0.499255913974014,0.5,-0.00744086025985857
18.66,-0.00496805655260004,0.50074520848289,0.49925479151711,0.5,-0.00745208482890031
18.67,-0.0049747550849065,0.500746213262736,0.499253786737264,0.5,-0.00746213262735967
18.68,-0.00498066804571586,0.500747100206857,0.499252899793143,0.5,-0.00747100206857393
18.69,-0.00498579450130307,0.500747869175195,0.499252130824805,0.5,-0.00747869175195454
18.7,-0.00499013364214136,0.500748520046321,0.499251479953679,0.5,-0.00748520046321199
18.71,-0.00499368478303009,0.500749052717455,0.499250947282545,0.5,-0.00749052717454513
18.72,-0.00499644736320295,0.50074946710448,0.49925053289552,0.5,-0.00749467104480428
18.73,-0.0049984209464165,0.500749763141963,0.499250236858038,0.5,-0.00749763141962484
18.74,-0.00499960522101908,0.500749940783153,0.499250059216847,0.5,-0.00749940783152853
18.75,-0.005,0.50075,0.49925,0.5,-0.00750000000000001
18.76,-0.00499960522101908,0.500749940783153,0.499250059216847,0.5,-0.00749940783152853
18.77,-0.0049984209464165,0.500749763141963,0.499250236858038,0.5,-0.00749763141962484
18.78,-0.00499644736320295,0.50074946710448,0.49925053289552,0.5,-0.00749467104480428
18.79,-0.00499368478303009,0.500749052717455,0.499250947282545,0.5,-0.00749052717454513
18.8,-0.00499013364214136,0.500748520046321,0.499251479953679,0.5,-0.00748520046321199
18.81,-0.00498579450130307,0.500747869175195,0.499252130824805,0.5,-0.00747869175195454
18.82,-0.00498066804571586,0.500747100206857,0.499252899793143,0.5,-0.00747100206857393
18.83,-0.0049747550849065,0.500746213262736,0.499253786737264,0.5,-0.00746213262735967
18.84,-0.00496805655260004,0.50074520848289,0.49925479151711,0.5,-0.00745208482890031
18.85,-0.00496057350657239,0.500744086025986,0.499255913974014,0.5,-0.00744086025985857
18.86,-0.00495230712848326,0.500742846069272,0.499257153930728,0.5,-0.00742846069272468
18.87,-0.00494325872368957,0.500741488808553,0.499258511191447,0.5,-0.00741488808553431
18.88,-0.00493342972103934,0.500740014458156,0.499259985541844,0.5,-0.00740014458155885
18.89,-0.00492282167264603,0.500738423250897,0.499261576749103,0.5,-0.00738423250896902
18.9,-0.00491143625364344,0.500736715438047,0.499263284561953,0.5,-0.00736715438046542
18.91,-0.00489927526192124,0.500734891289288,0.499265108710712,0.5,-0.00734891289288164
18.92,-0.00488634061784097,0.500732951092676,0.499267048907324,0.5,-0.00732951092676126
18.93,-0.00487263436393289,0.50073089515459,0.49926910484541,0.5,-0.00730895154589906
18.94,-0.00485815866457337,0.500728723799686,0.499271276200314,0.5,-0.00728723799686026
18.95,-0.00484291580564316,0.500726437370846,0.499273562629154,0.5,-0.00726437370846461
18.96,-0.00482690819416637,0.500724036229125,0.499275963770875,0.5,-0.0072403622912498
18.97,-0.00481013835793043,0.50072152075369,0.49927847924631,0.5,-0.00721520753689586
18.98,-0.00479260894508688,0.500718891341763,0.499281108658237,0.5,-0.00718891341763034
18.99,-0.00477432272373322,0.50071614840856,0.49928385159144,0.5,-0.00716148408559963
19,-0.00475528258147577,0.500713292387221,0.499286707612779,0.5,-0.0071329238722137
19.01,-0.00473549152497372,0.500710323728746,0.499289676271254,0.5,-0.00710323728746048
19.02,-0.00471495267946433,0.50070724290192,0.49929275709808,0.5,-0.00707242901919675
19.03,-0.00469366928826937,0.50070405039324,0.49929594960676,0.5,-0.00704050393240396
19.04,-0.00467164471228306,0.500700746706843,0.499299253293158,0.5,-0.00700746706842476
19.05,-0.00464888242944126,0.500697332364416,0.499302667635584,0.5,-0.00697332364416187
19.06,-0.00462538603417229,0.500693807905126,0.499306192094874,0.5,-0.00693807905125854
19.07,-0.00460115923682935,0.500690173885524,0.499309826114476,0.5,-0.00690173885524392
19.08,-0.00457620586310459,0.500686430879466,0.499313569120534,0.5,-0.0068643087946571
19.09,-0.00455052985342498,0.500682579478014,0.499317420521986,0.5,-0.00682579478013756
19.1,-0.00452413526233009,0.50067862028935,0.49932137971065,0.5,-0.00678620289349507
19.11,-0.00449702625783186,0.500674553938675,0.499325446061325,0.5,-0.00674553938674771
19.12,-0.00446920712075632,0.500670381068113,0.499329618931887,0.5,-0.00670381068113457
19.13,-0.00444068224406772,0.50066610233661,0.49933389766339,0.5,-0.00666102336610158
19.14,-0.00441145613217477,0.500661718419826,0.499338281580174,0.5,-0.00661718419826207
19.15,-0.00438153340021931,0.500657230010033,0.499342769989967,0.5,-0.006572300100329
19.16,-0.00435091877334763,0.500652637816002,0.499347362183998,0.5,-0.00652637816002138
19.17,-0.00431961708596418,0.500647942562895,0.499352057437105,0.5,-0.00647942562894605
19.18,-0.00428763328096826,0.500643144992145,0.499356855007855,0.5,-0.00643144992145239
19.19,-0.00425497240897345,0.500638245861346,0.499361754138654,0.5,-0.00638245861346004
19.2,-0.00422163962751008,0.500633245944127,0.499366754055873,0.5,-0.00633245944126504
19.21,-0.00418764020021071,0.500628146030032,0.499371853969968,0.5,-0.00628146030031584
19.22,-0.00415297949597907,0.500622946924397,0.499377053075603,0.5,-0.00622946924396878
19.23,-0.00411766298814214,0.500617649448221,0.499382350551779,0.5,-0.00617649448221319
19.24,-0.00408169625358592,0.500612254438038,0.499387745561962,0.5,-0.0061225443803789
19.25,-0.00404508497187473,0.500606762745781,0.499393237254219,0.5,-0.00606762745781197
19.26,-0.00400783492435438,0.500601175238653,0.499398824761347,0.5,-0.00601175238653134
19.27,-0.00396995199323918,0.500595492798986,0.499404507201014,0.5,-0.00595492798985853
19.28,-0.00393144216068309,0.500589716324102,0.499410283675898,0.5,-0.00589716324102457
19.29,-0.00389231150783512,0.500583846726175,0.499416153273825,0.5,-0.00583846726175286
19.3,-0.00385256621387894,0.500577884932082,0.499422115067918,0.5,-0.00577884932081857
19.31,-0.00381221255505725,0.500571831883259,0.499428168116741,0.5,-0.005718318832586
19.32,-0.00377125690368052,0.500565688535552,0.499434311464448,0.5,-0.00565688535552056
19.33,-0.0037297057271209,0.500559455859068,0.499440544140932,0.5,-0.00559455859068136
19.34,-0.00368756558679088,0.500553134838019,0.499446865161981,0.5,-0.00553134838018637
19.35,-0.00364484313710706,0.500546726470566,0.499453273529434,0.5,-0.00546726470566083
19.36,-0.00360154512443954,0.500540231768666,0.499459768231334,0.5,-0.00540231768665911
19.37,-0.00355767838604643,0.500533651757907,0.499466348242093,0.5,-0.00533651757906983
19.38,-0.00351324984899425,0.500526987477349,0.499473012522651,0.5,-0.00526987477349139
19.39,-0.00346826652906402,0.50052023997936,0.49947976002064,0.5,-0.00520239979359599
19.4,-0.00342273552964343,0.500513410329447,0.499486589670553,0.5,-0.00513410329446518
19.41,-0.00337666404060513,0.500506499606091,0.499493500393909,0.5,-0.00506499606090755
19.42,-0.00333005933717125,0.500499508900576,0.499500491099424,0.5,-0.00499508900575707
19.43,-0.00328292877876479,0.500492439316815,0.499507560683185,0.5,-0.00492439316814725
19.44,-0.00323527980784722,0.500485291971177,0.499514708028823,0.5,-0.00485291971177082
19.45,-0.00318711994874345,0.500478067992312,0.499521932007688,0.5,-0.00478067992311537
19.46,-0.00313845680645351,0.500470768520968,0.499529231479032,0.5,-0.00470768520968029
19.47,-0.00308929806545168,0.500463394709818,0.499536605290182,0.5,-0.00463394709817738
19.48,-0.00303965148847302,0.500455947723271,0.499544052276729,0.5,-0.00455947723270955
19.49,-0.0029895249152876,0.500448428737293,0.499551571262707,0.5,-0.00448428737293116
19.5,-0.00293892626146237,0.500440838939219,0.499559161060781,0.5,-0.0044083893921934
19.51,-0.00288786351711133,0.500433179527567,0.499566820472433,0.5,-0.00433179527566718
19.52,-0.00283634474563379,0.500425451711845,0.499574548288155,0.5,-0.00425451711845048
19.53,-0.00278437808244094,0.500417656712366,0.499582343287634,0.5,-0.00417656712366155
19.54,-0.00273197173367135,0.500409795760051,0.499590204239949,0.5,-0.00409795760050707
19.55,-0.00267913397489499,0.500401870096234,0.499598129903766,0.5,-0.00401870096234269
19.56,-0.00262587314980649,0.500393880972471,0.499606119027529,0.5,-0.0039388097247095
19.57,-0.00257219766890753,0.500385829650336,0.499614170349664,0.5,-0.0038582965033615
19.58,-0.0025181160081788,0.500377717401227,0.499622282598773,0.5,-0.00377717401226829
19.59,-0.00246363670774146,0.500369545506161,0.499630454493839,0.5,-0.00369545506161195
19.6,-0.00240876837050857,0.500361315255576,0.499638684744424,0.5,-0.00361315255576283
19.61,-0.00235351966082667,0.500353027949124,0.499646972050876,0.5,-0.0035302794912398
19.62,-0.00229789930310744,0.500344684895466,0.499655315104534,0.5,-0.0034468489546613
19.63,-0.00224191608045016,0.500336287412067,0.499663712587932,0.5,-0.0033628741206751
19.64,-0.00218557883325467,0.500327836824988,0.499672163175012,0.5,-0.00327836824988187
19.65,-0.00212889645782536,0.500319334468674,0.499680665531326,0.5,-0.00319334468673826
19.66,-0.00207187790496642,0.500310781685745,0.499689218314255,0.5,-0.00310781685744943
19.67,-0.00201453217856831,0.500302179826785,0.499697820173215,0.5,-0.00302179826785265
19.68,-0.00195686833418602,0.500293530250128,0.499706469749872,0.5,-0.00293530250127905
19.69,-0.001898895477609,0.500284834321641,0.499715165678359,0.5,-0.00284834321641364
19.7,-0.0018406227634234,0.500276093414514,0.499723906585486,0.5,-0.00276093414513512
19.71,-0.00178205939356625,0.500267308909035,0.499732691090965,0.5,-0.00267308909034925
19.72,-0.0017232146158726,0.500258482192381,0.499741517807619,0.5,-0.00258482192380893
19.73,-0.00166409772261494,0.500249614658392,0.499750385341608,0.5,-0.00249614658392239
19.74,-0.00160471804903604,0.500240707707355,0.499759292292645,0.5,-0.00240707707355403
19.75,-0.00154508497187475,0.500231762745781,0.499768237254219,0.5,-0.00231762745781211
19.76,-0.00148520790788517,0.500222781186183,0.499777218813817,0.5,-0.00222781186182797
19.77,-0.00142509631234988,0.500213764446853,0.499786235553147,0.5,-0.00213764446852505
19.78,-0.00136475967758662,0.500204713951638,0.499795286048362,0.5,-0.00204713951638014
19.79,-0.0013042075314495,0.500195631129717,0.499804368870283,0.5,-0.00195631129717433
19.8,-0.00124344943582427,0.500186517415374,0.499813482584626,0.5,-0.00186517415373649
19.81,-0.00118249498511864,0.500177374247768,0.499822625752232,0.5,-0.00177374247767786
19.82,-0.00112135380474691,0.500168203070712,0.499831796929288,0.5,-0.00168203070712053
19.83,-0.00106003554961027,0.500159005332442,0.499840994667558,0.5,-0.00159005332441536
19.84,-0.000998549902572048,0.500149782485386,0.499850217514614,0.5,-0.00149782485385802
19.85,-0.000936906572928623,0.500140535985939,0.499859464014061,0.5,-0.001405359859393
19.86,-0.000875115294876384,0.500131267294231,0.499868732705769,0.5,-0.00131267294231435
19.87,-0.000813185825974425,0.500121977873896,0.499878022126104,0.5,-0.00121977873896145
19.88,-0.000751127945603796,0.500112669191841,0.499887330808159,0.5,-0.00112669191840581
19.89,-0.000688951453423188,0.500103342718013,0.499896657281987,0.5,-0.00103342718013488
19.9,-0.000626666167821505,0.500093999925173,0.499906000074827,0.5,-0.000939999251732271
19.91,-0.000564281924367414,0.500084642288655,0.499915357711345,0.5,-0.000846422886551235
19.92,-0.000501808574256066,0.500075271286138,0.499924728713862,0.5,-0.000752712861384064
19.93,-0.000439255982753729,0.500065888397413,0.499934111602587,0.5,-0.000658883974130609
19.94,-0.000376634027639663,0.500056495104146,0.499943504895854,0.5,-0.000564951041459594
19.95,-0.00031395259764657,0.500047092889647,0.499952907110353,0.5,-0.000470928896469935
19.96,-0.000251221590898855,0.500037683238635,0.499962316761365,0.5,-0.000376832386348447
19.97,-0.000188450913349684,0.500028267637002,0.499971732362998,0.5,-0.00028267637002477
19.98,-0.000125650477216684,0.500018847571583,0.499981152428418,0.5,-0.000188475715825198
19.99,-6.2830199416764e-05,0.500009424529912,0.499990575470087,0.5,-9.42452991251064e-05
20,-4.8985871963705e-18,0.5,0.5,0.5,0
20.01,6.2830199416772e-05,0.499990575470087,0.500009424529912,0.5,9.42452991251064e-05
20.02,0.000125650477216675,0.499981152428418,0.500018847571583,0.5,0.000188475715825198
20.03,0.000188450913349674,0.499971732362998,0.500028267637002,0.5,0.00028267637002477
20.04,0.000251221590898845,0.499962316761365,0.500037683238635,0.5,0.000376832386348447
20.05,0.00031395259764656,0.499952907110353,0.500047092889647,0.5,0.000470928896469935
20.06,0.000376634027639653,0.499943504895854,0.500056495104146,0.5,0.000564951041459594
20.07,0.000439255982753719,0.499934111602587,0.500065888397413,0.5,0.000658883974130609
20.08,0.000501808574256074,0.499924728713862,0.500075271286138,0.5,0.000752712861384064
20.09,0.000564281924367404,0.499915357711345,0.500084642288655,0.5,0.000846422886551235
20.1,0.00062666616782153,0.499906000074827,0.500093999925173,0.5,0.000939999251732271
20.11,0.000688951453423178,0.499896657281987,0.500103342718013,0.5,0.00103342718013488
20.12,0.000751127945603787,0.499887330808159,0.500112669191841,0.5,0.00112669191840581
20.13,0.000813185825974416,0.499878022126104,0.500121977873896,0.5,0.00121977873896145
20.14,0.000875115294876374,0.499868732705769,0.500131267294231,0.5,0.00131267294231435
20.15,0.00093690657292863,0.499859464014061,0.500140535985939,0.5,0.001405359859393
20.16,0.000998549902572039,0.499850217514614,0.500149782485386,0.5,0.00149782485385802
20.17,0.00106003554961027,0.499840994667558,0.500159005332442,0.5,0.00159005332441536
20.18,0.0011213538047469,0.499831796929288,0.500168203070712,0.5,0.00168203070712053
20.19,0.00118249498511863,0.499822625752232,0.500177374247768,0.5,0.00177374247767786
20.2,0.00124344943582426,0.499813482584626,0.500186517415374,0.5,0.00186517415373649
20.21,0.00130420753144949,0.499804368870283,0.500195631129717,0.5,0.00195631129717433
20.22,0.00136475967758661,0.499795286048362,0.500204713951638,0.5,0.00204713951638014
20.23,0.00142509631234987,0.499786235553147,0.500213764446853,0.5,0.00213764446852505
20.24,0.00148520790788518,0.499777218813817,0.500222781186183,0.5,0.00222781186182797
20.25,0.00154508497187474,0.499768237254219,0.500231762745781,0.5,0.00231762745781211
20.26,0.00160471804903605,0.499759292292645,0.500240707707355,0.5,0.00240707707355403
20.27,0.00166409772261493,0.499750385341608,0.500249614658392,0.5,0.00249614658392239
20.28,0.00172321461587259,0.499741517807619,0.500258482192381,0.5,0.00258482192380893
20.29,0.00178205939356624,0.499732691090965,0.500267308909035,0.5,0.00267308909034925
20.3,0.00184062276342339,0.499723906585486,0.500276093414514,0.5,0.00276093414513512
20.31,0.00189889547760899,0.499715165678359,0.500284834321641,0.5,0.00284834321641364
20.32,0.00195686833418601,0.499706469749872,0.500293530250128,0.5,0.00293530250127905
20.33,0.00201453217856832,0.499697820173215,0.500302179826785,0.5,0.00302179826785265
20.34,0.00207187790496641,0.499689218314255,0.500310781685745,0.5,0.00310781685744943
20.35,0.00212889645782536,0.499680665531326,0.500319334468674,0.5,0.00319334468673826
20.36,0.00218557883325466,0.499672163175012,0.500327836824988,0.5,0.00327836824988187
20.37,0.00224191608045015,0.499663712587932,0.500336287412067,0.5,0.0033628741206751
20.38,0.00229789930310743,0.499655315104534,0.500344684895466,0.5,0.0034468489546613
20.39,0.00235351966082667,0.499646972050876,0.500353027949124,0.5,0.0035302794912398
20.4,0.00240876837050859,0.499638684744424,0.500361315255576,0.5,0.00361315255576283
20.41,0.00246363670774145,0.499630454493839,0.500369545506161,0.5,0.00369545506161195
20.42,0.00251811600817881,0.499622282598773,0.500377717401227,0.5,0.00377717401226829
20.43,0.00257219766890752,0.499614170349664,0.500385829650336,0.5,0.0038582965033615
20.44,0.00262587314980648,0.499606119027529,0.500393880972471,0.5,0.0039388097247095
20.45,0.00267913397489498,0.499598129903766,0.500401870096234,0.5,0.00401870096234269
20.46,0.00273197173367134,0.499590204239949,0.500409795760051,0.5,0.00409795760050707
20.47,0.00278437808244093,0.499582343287634,0.500417656712366,0.5,0.00417656712366155
20.48,0.00283634474563378,0.499574548288155,0.500425451711845,0.5,0.00425451711845048
20.49,0.00288786351711134,0.499566820472433,0.500433179527567,0.5,0.00433179527566718
20.5,0.00293892626146236,0.499559161060781,0.500440838939219,0.5,0.0044083893921934
20.51,0.0029895249152876,0.499551571262707,0.500448428737293,0.5,0.00448428737293116
20.52,0.00303965148847302,0.499544052276729,0.500455947723271,0.5,0.00455947723270955
20.53,0.00308929806545167,0.499536605290182,0.500463394709818,0.5,0.00463394709817738
20.54,0.0031384568064535,0.499529231479032,0.500470768520968,0.5,0.00470768520968029
20.55,0.00318711994874344,0.499521932007688,0.500478067992312,0.5,0.00478067992311537
20.56,0.00323527980784721,0.499514708028823,0.500485291971177,0.5,0.00485291971177082
20.57,0.00328292877876478,0.499507560683185,0.500492439316815,0.5,0.00492439316814725
20.58,0.00333005933717126,0.499500491099424,0.500499508900576,0.5,0.00499508900575707
20.59,0.00337666404060512,0.499493500393909,0.500506499606091,0.5,0.00506499606090755
20.6,0.00342273552964345,0.499486589670553,0.500513410329447,0.5,0.00513410329446518
20.61,0.00346826652906402,0.49947976002064,0.50052023997936,0.5,0.00520239979359599
20.62,0.00351324984899425,0.499473012522651,0.500526987477349,0.5,0.00526987477349139
20.63,0.00355767838604643,0.499466348242093,0.500533651757907,0.5,0.00533651757906983
20.64,0.00360154512443953,0.499459768231334,0.500540231768666,0.5,0.00540231768665911
20.65,0.00364484313710706,0.499453273529434,0.500546726470566,0.5,0.00546726470566083
20.66,0.00368756558679087,0.499446865161981,0.500553134838019,0.5,0.00553134838018637
20.67,0.00372970572712091,0.499440544140932,0.500559455859068,0.5,0.00559455859068136
20.68,0.00377125690368052,0.499434311464448,0.500565688535552,0.5,0.00565688535552056
20.69,0.00381221255505725,0.499428168116741,0.500571831883259,0.5,0.005718318832586
20.7,0.00385256621387894,0.499422115067918,0.500577884932082,0.5,0.00577884932081857
20.71,0.00389231150783512,0.499416153273825,0.500583846726175,0.5,0.00583846726175286
20.72,0.00393144216068308,0.499410283675898,0.500589716324102,0.5,0.00589716324102457
20.73,0.00396995199323917,0.499404507201014,0.500595492798986,0.5,0.00595492798985853
20.74,0.00400783492435439,0.499398824761347,0.500601175238653,0.5,0.00601175238653134
20.75,0.00404508497187473,0.499393237254219,0.500606762745781,0.5,0.00606762745781197
20.76,0.00408169625358592,0.499387745561962,0.500612254438038,0.5,0.0061225443803789
20.77,0.00411766298814214,0.499382350551779,0.500617649448221,0.5,0.00617649448221319
20.78,0.00415297949597907,0.499377053075603,0.500622946924397,0.5,0.00622946924396878
20.79,0.0041876402002107,0.499371853969968,0.500628146030032,0.5,0.00628146030031584
20.8,0.00422163962751008,0.499366754055873,0.500633245944127,0.5,0.00633245944126504
20.81,0.00425497240897345,0.499361754138654,0.500638245861346,0.5,0.00638245861346004
20.82,0.00428763328096826,0.499356855007855,0.500643144992145,0.5,0.00643144992145239
20.83,0.00431961708596418,0.499352057437105,0.500647942562895,0.5,0.00647942562894605
20.84,0.00435091877334762,0.499347362183998,0.500652637816002,0.5,0.00652637816002138
20.85,0.00438153340021932,0.499342769989967,0.500657230010033,0.5,0.006572300100329
20.86,0.00441145613217476,0.499338281580174,0.500661718419826,0.5,0.00661718419826207
20.87,0.00444068224406772,0.49933389766339,0.50066610233661,0.5,0.0066610233661013
20.88,0.00446920712075631,0.499329618931887,0.500670381068113,0.5,0.00670381068113457
