t,e_line,u_L,u_R,v,omega
2.2500,0.342947,-0.198038,1.000000,0.260637,5.990192
2.2600,0.333887,-0.177173,1.000000,0.267419,5.885863
2.2700,0.324590,-0.156207,1.000000,0.274233,5.781033
2.2800,0.315092,-0.135206,1.000000,0.281058,5.676029
2.2900,0.305429,-0.114231,1.000000,0.287875,5.571155
2.3000,0.295636,-0.093339,1.000000,0.294665,5.466696
2.3100,0.285745,-0.072583,1.000000,0.301410,5.362917
2.3200,0.275789,-0.052013,1.000000,0.308096,5.260063
2.3300,0.265797,-0.031672,1.000000,0.314707,5.158359
2.3400,0.255797,-0.011603,1.000000,0.321229,5.058016
2.3500,0.245818,0.008156,1.000000,0.327651,4.959221
2.3600,0.235884,0.027570,1.000000,0.333960,4.862150
2.3700,0.226020,0.046608,1.000000,0.340148,4.766959
2.3800,0.216246,0.065242,1.000000,0.346204,4.673791
2.3900,0.206585,0.083445,1.000000,0.352120,4.582775
2.4000,0.197054,0.101195,1.000000,0.357888,4.494026
2.4100,0.187673,0.118470,1.000000,0.363503,4.407648
2.4200,0.178456,0.135254,1.000000,0.368957,4.323732
2.4300,0.169420,0.151528,1.000000,0.374247,4.242361
2.4400,0.160576,0.167279,1.000000,0.379366,4.163607
2.4500,0.151939,0.182493,1.000000,0.384310,4.087534
2.4600,0.143519,0.197160,1.000000,0.389077,4.014198
2.4700,0.135327,0.211270,1.000000,0.393663,3.943648
2.4800,0.127371,0.224814,1.000000,0.398065,3.875928
2.4900,0.119661,0.237785,1.000000,0.402280,3.811075
2.5000,0.112203,0.250176,1.000000,0.406307,3.749120
2.5100,0.105004,0.261981,1.000000,0.410144,3.690093
2.5200,0.098070,0.273196,1.000000,0.413789,3.634018
2.5300,0.091407,0.283817,1.000000,0.417240,3.580915
2.5400,0.085019,0.293839,1.000000,0.420498,3.530804
2.5500,0.078911,0.303260,0.996740,0.422500,3.467399
2.5600,0.073086,0.312077,0.987923,0.422500,3.379231
2.5700,0.067546,0.320303,0.979697,0.422500,3.296968
2.5800,0.062291,0.327969,0.972031,0.422500,3.220309
2.5900,0.057319,0.335080,0.964920,0.422500,3.149202
2.6000,0.052629,0.341640,0.958360,0.422500,3.083598
2.6100,0.048220,0.347655,0.952345,0.422500,3.023449
2.6200,0.044089,0.353128,0.946872,0.422500,2.968717
2.6300,0.040236,0.358063,0.941937,0.422500,2.919366
2.6400,0.036658,0.362463,0.937537,0.422500,2.875368
2.6500,0.033354,0.366330,0.933670,0.422500,2.836702
2.6600,0.030323,0.369665,0.930335,0.422500,2.803352
2.6700,0.027563,0.372469,0.927531,0.422500,2.775312
2.6800,0.025074,0.374742,0.925258,0.422500,2.752580
2.6900,0.022855,0.376484,0.923516,0.422500,2.735165
2.7000,0.020905,0.377692,0.922308,0.422500,2.723082
2.7100,0.019224,0.378365,0.921635,0.422500,2.716354
2.7200,0.017812,0.378499,0.921501,0.422500,2.715013
2.7300,0.016669,0.378090,0.921910,0.422500,2.719098
2.7400,0.015796,0.377134,0.922866,0.422500,2.728656
2.7500,0.015195,0.375626,0.924374,0.422500,2.743742
2.7600,0.014866,0.373558,0.926442,0.422500,2.764419
2.7700,0.014811,0.370924,0.929076,0.422500,2.790758
2.7800,0.015033,0.367716,0.932284,0.422500,2.822837
2.7900,0.015534,0.363926,0.936074,0.422500,2.860739
2.8000,0.016316,0.359544,0.940456,0.422500,2.904556
2.8100,0.017383,0.354562,0.945438,0.422500,2.954384
2.8200,0.018739,0.348967,0.951033,0.422500,3.010325
2.8300,0.020386,0.342751,0.957249,0.422500,3.072485
2.8400,0.022330,0.335903,0.964097,0.422500,3.140972
2.8500,0.024574,0.328410,0.971590,0.422500,3.215898
2.8600,0.027123,0.320263,0.979737,0.422500,3.297372
2.8700,0.029982,0.311449,0.988551,0.422500,3.385505
2.8800,0.033155,0.301960,0.998040,0.422500,3.480403
2.8900,0.036647,0.291784,1.000000,0.419830,3.541082
2.9000,0.040463,0.280912,1.000000,0.416296,3.595441
2.9100,0.044604,0.269381,1.000000,0.412549,3.653094
2.9200,0.049070,0.257205,1.000000,0.408592,3.713975
2.9300,0.053859,0.244388,1.000000,0.404426,3.778059
2.9400,0.058971,0.230938,1.000000,0.400055,3.845312
2.9500,0.064404,0.216862,1.000000,0.395480,3.915691
2.9600,0.070156,0.202171,1.000000,0.390706,3.989145
2.9700,0.076223,0.186878,1.000000,0.385735,4.065612
2.9800,0.082603,0.170996,1.000000,0.380574,4.145018
2.9900,0.089291,0.154544,1.000000,0.375227,4.227278
3.0000,0.096280,0.137541,1.000000,0.369701,4.312294
3.0100,0.103566,0.120010,1.000000,0.364003,4.399950
3.0200,0.111140,0.101976,1.000000,0.358142,4.490118
3.0300,0.118995,0.083469,1.000000,0.352128,4.582653
3.0400,0.127119,0.064522,1.000000,0.345970,4.677389
3.0500,0.135501,0.045171,1.000000,0.339681,4.774145
3.0600,0.144130,0.025456,1.000000,0.333273,4.872718
3.0700,0.152990,0.005423,1.000000,0.326762,4.972886
3.0800,0.162065,-0.014881,1.000000,0.320164,5.074405
3.0900,0.171337,-0.035402,1.000000,0.313494,5.177011
3.1000,0.180788,-0.056083,1.000000,0.306773,5.280416
3.1100,0.190395,-0.076862,1.000000,0.300020,5.384312
