time,e_line,u_L,u_R,v,omega
3.95,0.0355176636208804,-1,1,0.6,10
3.96,0.035587977070219,-1,1,0.6,10
3.97,0.0356581481676969,-1,1,0.6,10
3.98,0.0357281766326296,-1,1,0.6,10
3.99,0.0357980621849034,-1,1,0.6,10
4,0.0358678045449761,-1,1,0.6,10
4.01,0.0359374034338786,-1,1,0.6,10
4.02,0.0360068585732152,-1,1,0.6,10
4.03,0.0360761696851655,-1,1,0.6,10
4.04,0.0361453364924852,-1,1,0.6,10
4.05,0.0362143587185071,-1,1,0.6,10
4.06,0.0362832360871425,-1,1,0.6,10
4.07,0.0363519683228818,-1,1,0.6,10
4.08,0.0364205551507963,-1,1,0.6,10
4.09,0.0364889962965388,-1,1,0.6,10
4.1,0.0365572914863448,-1,1,0.6,10
4.11,0.0366254404470336,-1,1,0.6,10
4.12,0.0366934429060094,-1,1,0.6,10
4.13,0.0367612985912625,-1,1,0.6,10
4.14,0.0368290072313702,-1,1,0.6,10
4.15,0.0368965685554981,-1,1,0.6,10
4.16,0.036963982293401,-1,1,0.6,10
4.17,0.0370312481754241,-1,1,0.6,10
4.18,0.0370983659325037,-1,1,0.6,10
4.19,0.0371653352961692,-1,1,0.6,10
4.2,0.037232155998543,-1,1,0.6,10
4.21,0.0372988277723424,-1,1,0.6,10
4.22,0.0373653503508805,-1,1,0.6,10
4.23,0.037431723468067,-1,1,0.6,10
4.24,0.0374979468584095,-1,1,0.6,10
4.25,0.0375640202570146,-1,1,0.6,10
4.26,0.0376299433995888,-1,1,0.6,10
4.27,0.0376957160224395,-1,1,0.6,10
4.28,0.0377613378624764,-1,1,0.6,10
4.29,0.0378268086572122,-1,1,0.6,10
4.3,0.0378921281447639,-1,1,0.6,10
4.31,0.0379572960638534,-1,1,0.6,10
4.32,0.0380223121538093,-1,1,0.6,10
4.33,0.0380871761545673,-1,1,0.6,10
4.34,0.0381518878066715,-1,1,0.6,10
4.35,0.0382164468512753,-1,1,0.6,10
4.36,0.0382808530301426,-1,1,0.6,10
4.37,0.0383451060856489,-1,1,0.6,10
4.38,0.0384092057607819,-1,1,0.6,10
4.39,0.0384731517991432,-1,1,0.6,10
4.4,0.0385369439449485,-1,1,0.6,10
4.41,0.0386005819430294,-1,1,0.6,10
4.42,0.038664065538834,-1,1,0.6,10
4.43,0.038727394478428,-1,1,0.6,10
4.44,0.0387905685084958,-1,1,0.6,10
4.45,0.0388535873763412,-1,1,0.6,10
4.46,0.0389164508298889,-1,1,0.6,10
4.47,0.0389791586176852,-1,1,0.6,10
4.48,0.039041710488899,-1,1,0.6,10
4.49,0.0391041061933229,-1,1,0.6,10
4.5,0.0391663454813742,-1,1,0.6,10
4.51,0.0392284281040957,-1,1,0.6,10
4.52,0.0392903538131572,-1,1,0.6,10
4.53,0.0393521223608558,-1,1,0.6,10
4.54,0.0394137335001174,-1,1,0.6,10
4.55,0.0394751869844975,-1,1,0.6,10
4.56,0.0395364825681824,-1,1,0.6,10
4.57,0.0395976200059897,-1,1,0.6,10
4.58,0.0396585990533697,-1,1,0.6,10
4.59,0.0397194194664065,-1,1,0.6,10
4.6,0.0397800810018183,-1,1,0.6,10
4.61,0.0398405834169592,-1,1,0.6,10
4.62,0.0399009264698195,-1,1,0.6,10
4.63,0.0399611099190271,-1,1,0.6,10
4.64,0.0400211335238484,-1,1,0.6,10
4.65,0.0400809970441889,-1,1,0.6,10
4.66,0.0401407002405946,-1,1,0.6,10
4.67,0.040200242874253,-1,1,0.6,10
4.68,0.0402596247069934,-1,1,0.6,10
4.69,0.0403188455012887,-1,1,0.6,10
4.7,0.0403779050202557,-1,1,0.6,10
4.71,0.0404368030276565,-1,1,0.6,10
4.72,0.0404955392878991,-1,1,0.6,10
4.73,0.0405541135660386,-1,1,0.6,10
4.74,0.0406125256277778,-1,1,0.6,10
4.75,0.0406707752394687,-1,1,0.6,10
4.76,0.0407288621681128,-1,1,0.6,10
4.77,0.0407867861813626,-1,1,0.6,10
4.78,0.0408445470475221,-1,1,0.6,10
4.79,0.0409021445355478,-1,1,0.6,10
4.8,0.0409595784150499,-1,1,0.6,10
4.81,0.041016848456293,-1,1,0.6,10
4.82,0.0410739544301969,-1,1,0.6,10
4.83,0.0411308961083379,-1,1,0.6,10
4.84,0.0411876732629493,-1,1,0.6,10
4.85,0.0412442856669225,-1,1,0.6,10
4.86,0.0413007330938081,-1,1,0.6,10
4.87,0.0413570153178163,-1,1,0.6,10
4.88,0.0414131321138185,-1,1,0.6,10
4.89,0.0414690832573474,-1,1,0.6,10
4.9,0.0415248685245985,-1,1,0.6,10
4.91,0.041580487692431,-1,1,0.6,10
4.92,0.0416359405383681,-1,1,0.6,10
4.93,0.0416912268405985,-1,1,0.6,10
4.94,0.0417463463779772,-1,1,0.6,10
4.95,0.041801298930026,-1,1,0.6,10
4.96,0.0418560842769349,-1,1,0.6,10
4.97,0.0419107021995624,-1,1,0.6,10
4.98,0.0419651524794371,-1,1,0.6,10
4.99,0.0420194348987577,-1,1,0.6,10
5,0.0420735492403948,-1,1,0.6,10
5.01,0.0421274952878911,-1,1,0.6,10
5.02,0.0421812728254623,-1,1,0.6,10
5.03,0.0422348816379985,-1,1,0.6,10
5.04,0.0422883215110645,-1,1,0.6,10
5.05,0.0423415922309008,-1,1,0.6,10
5.06,0.0423946935844246,-1,1,0.6,10
5.07,0.0424476253592306,-1,1,0.6,10
5.08,0.0425003873435918,-1,1,0.6,10
5.09,0.0425529793264603,-1,1,0.6,10
5.1,0.0426054010974682,-1,1,0.6,10
5.11,0.0426576524469285,-1,1,0.6,10
5.12,0.0427097331658359,-1,1,0.6,10
5.13,0.0427616430458676,-1,1,0.6,10
5.14,0.0428133818793841,-1,1,0.6,10
5.15,0.0428649494594302,-1,1,0.6,10
5.16,0.0429163455797356,-1,1,0.6,10
5.17,0.0429675700347159,-1,1,0.6,10
5.18,0.0430186226194733,-1,1,0.6,10
5.19,0.0430695031297977,-1,1,0.6,10
5.2,0.0431202113621669,-1,1,0.6,10
5.21,0.0431707471137482,-1,1,0.6,10
5.22,0.0432211101823986,-1,1,0.6,10
5.23,0.0432713003666659,-1,1,0.6,10
5.24,0.0433213174657894,-1,1,0.6,10
5.25,0.0433711612797009,-1,1,0.6,10
5.26,0.043420831609025,-1,1,0.6,10
5.27,0.0434703282550806,-1,1,0.6,10
5.28,0.0435196510198811,-1,1,0.6,10
5.29,0.0435687997061356,-1,1,0.6,10
5.3,0.0436177741172493,-1,1,0.6,10
5.31,0.0436665740573247,-1,1,0.6,10
5.32,0.0437151993311622,-1,1,0.6,10
5.33,0.0437636497442606,-1,1,0.6,10
5.34,0.0438119251028183,-1,1,0.6,10
5.35,0.0438600252137341,-1,1,0.6,10
5.36,0.0439079498846075,-1,1,0.6,10
5.37,0.0439556989237399,-1,1,0.6,10
5.38,0.0440032721401352,-1,1,0.6,10
5.39,0.0440506693435006,-1,1,0.6,10
5.4,0.0440978903442474,-1,1,0.6,10
5.41,0.0441449349534916,-1,1,0.6,10
5.42,0.0441918029830548,-1,1,0.6,10
5.43,0.0442384942454651,-1,1,0.6,10
5.44,0.0442850085539573,-1,1,0.6,10
5.45,0.0443313457224744,-1,1,0.6,10
5.46,0.0443775055656677,-1,1,0.6,10
5.47,0.0444234878988978,-1,1,0.6,10
5.48,0.0444692925382357,-1,1,0.6,10
5.49,0.0445149193004626,-1,1,0.6,10
5.5,0.0445603680030718,-1,1,0.6,10
5.51,0.0446056384642683,-1,1,0.6,10
5.52,0.0446507305029704,-1,1,0.6,10
5.53,0.0446956439388101,-1,1,0.6,10
5.54,0.0447403785921336,-1,1,0.6,10
5.55,0.0447849342840024,-1,1,0.6,10
5.56,0.0448293108361938,-1,1,0.6,10
5.57,0.0448735080712015,-1,1,0.6,10
5.58,0.0449175258122369,-1,1,0.6,10
5.59,0.0449613638832289,-1,1,0.6,10
5.6,0.0450050221088253,-1,1,0.6,10
5.61,0.0450485003143932,-1,1,0.6,10
5.62,0.04509179832602,-1,1,0.6,10
5.63,0.0451349159705136,-1,1,0.6,10
5.64,0.0451778530754035,-1,1,0.6,10
5.65,0.0452206094689413,-1,1,0.6,10
5.66,0.0452631849801015,-1,1,0.6,10
5.67,0.0453055794385822,-1,1,0.6,10
5.68,0.0453477926748055,-1,1,0.6,10
5.69,0.0453898245199186,-1,1,0.6,10
5.7,0.0454316748057942,-1,1,0.6,10
5.71,0.0454733433650311,-1,1,0.6,10
5.72,0.0455148300309551,-1,1,0.6,10
5.73,0.0455561346376197,-1,1,0.6,10
5.74,0.0455972570198065,-1,1,0.6,10
5.75,0.0456381970130261,-1,1,0.6,10
5.76,0.0456789544535184,-1,1,0.6,10
5.77,0.0457195291782538,-1,1,0.6,10
5.78,0.0457599210249335,-1,1,0.6,10
5.79,0.04580012983199,-1,1,0.6,10
5.8,0.0458401554385883,-1,1,0.6,10
5.81,0.045879997684626,-1,1,0.6,10
5.82,0.0459196564107341,-1,1,0.6,10
