time,e_line,u_L,u_R,v,omega
36.74,-0.00692077852021883,0.606020747790008,0.593979252209992,0.6,-0.0602074779000783
36.75,-0.00685415229530483,0.605920035910631,0.594079964089369,0.6,-0.0592003591063084
36.76,-0.00678735471694045,0.605818663992983,0.594181336007017,0.6,-0.0581866399298281
36.77,-0.0067203874550616,0.605716634571356,0.594283365428644,0.6,-0.0571663457135585
36.78,-0.00665325218384644,0.605613950196482,0.594386049803518,0.6,-0.0561395019648159
36.79,-0.00658595058167321,0.605510613435463,0.594489386564537,0.6,-0.0551061343546277
36.8,-0.0065184843310784,0.605406626871713,0.594593373128287,0.6,-0.0540662687171289
36.81,-0.00645085511871487,0.605301993104892,0.594698006895108,0.6,-0.053019931048921
36.82,-0.00638306463530936,0.605196714750838,0.594803285249162,0.6,-0.0519671475083783
36.83,-0.00631511457562041,0.605090794441504,0.594909205558496,0.6,-0.0509079444150373
36.84,-0.00624700663839594,0.604984234824891,0.595015765175109,0.6,-0.0498423482489141
36.85,-0.00617874252633092,0.604877038564988,0.595122961435012,0.6,-0.0487703856498756
36.86,-0.00611032394602455,0.604769208341691,0.595230791658309,0.6,-0.0476920834169148
36.87,-0.00604175260793778,0.604660746850754,0.595339253149246,0.6,-0.0466074685075357
36.88,-0.00597303022635043,0.604551656803705,0.595448343196295,0.6,-0.0455165680370495
36.89,-0.00590415851931857,0.604441940927793,0.595558059072207,0.6,-0.044419409277926
36.9,-0.00583513920863123,0.604331601965906,0.595668398034094,0.6,-0.0433160196590643
36.91,-0.00576597401976754,0.604220642676514,0.595779357323486,0.6,-0.0422064267651434
36.92,-0.00569666468185372,0.604109065833595,0.595890934166405,0.6,-0.0410906583359461
36.93,-0.00562721292761955,0.603996874226561,0.596003125773439,0.6,-0.0399687422656092
36.94,-0.00555762049335528,0.603884070660198,0.596115929339802,0.6,-0.0388407066019802
36.95,-0.00548788911886808,0.603770657954589,0.596229342045411,0.6,-0.0377065795458875
36.96,-0.00541802054743879,0.603656638945046,0.596343361054954,0.6,-0.0365663894504642
36.97,-0.005348016525778,0.603542016482039,0.596457983517961,0.6,-0.0354201648203878
36.98,-0.00527787880398255,0.603426793431121,0.596573206568879,0.6,-0.0342679343112129
36.99,-0.00520760913549195,0.603310972672866,0.596689027327134,0.6,-0.0331097267286595
37,-0.00513720927704419,0.603194557102784,0.596805442897216,0.6,-0.0319455710278405
37.01,-0.00506668098863206,0.603077549631259,0.596922450368741,0.6,-0.0307754963125928
37.02,-0.00499602603345906,0.602959953183472,0.597040046816528,0.6,-0.0295995318347186
37.03,-0.00492524617789549,0.602841770699328,0.597158229300672,0.6,-0.0284177069932845
37.04,-0.00485434319143398,0.602723005133383,0.597276994866617,0.6,-0.027230051333833
37.05,-0.00478331884664547,0.602603659454769,0.59739634054523,0.6,-0.0260365945476948
37.06,-0.00471217491913498,0.602483736647124,0.597516263352876,0.6,-0.0248373664712431
37.07,-0.00464091318749694,0.60236323970851,0.59763676029149,0.6,-0.0236323970851016
37.08,-0.00456953543327092,0.602242171651345,0.597757828348655,0.6,-0.0224217165134477
37.09,-0.00449804344089701,0.602120535502323,0.597879464497677,0.6,-0.0212053550232261
37.1,-0.00442643899767141,0.601998334302343,0.598001665697657,0.6,-0.0199833430234275
37.11,-0.0043547238937014,0.601875571106427,0.598124428893573,0.6,-0.0187557110642722
37.12,-0.00428289992186087,0.60175224898365,0.59824775101635,0.6,-0.0175224898365012
37.13,-0.0042109688777453,0.601628371017057,0.598371628982942,0.6,-0.0162837101705748
37.14,-0.00413893255962716,0.601503940303594,0.598496059696406,0.6,-0.0150394030359358
37.15,-0.0040667927684106,0.601378959954018,0.598621040045982,0.6,-0.0137895995401827
37.16,-0.0039945513075866,0.601253433092834,0.598746566907166,0.6,-0.0125343309283377
37.17,-0.003922209983188,0.601127362858207,0.598872637141793,0.6,-0.0112736285820658
37.18,-0.0038497706037441,0.601000752401885,0.598999247598115,0.6,-0.0100075240188457
37.19,-0.00377723498023562,0.600873604889123,0.599126395110877,0.6,-0.00873604889122914
37.2,-0.00370460492604931,0.600745923498602,0.599254076501398,0.6,-0.00745923498602252
37.21,-0.00363188225693285,0.600617711422352,0.599382288577648,0.6,-0.00617711422352452
37.22,-0.00355906879094913,0.600488971865667,0.599511028134333,0.6,-0.00488971865667209
37.23,-0.00348616634843095,0.600359708047028,0.599640291952972,0.6,-0.0035970804702834
37.24,-0.00341317675193569,0.600229923198027,0.599770076801973,0.6,-0.00229923198026616
37.25,-0.00334010182619939,0.600099620563275,0.599900379436725,0.6,-0.000996205632747271
37.26,-0.0032669433980914,0.599968803400332,0.600031196599668,0.6,0.0003119659966766
37.27,-0.00319370329656856,0.599837474979621,0.600162525020379,0.6,0.00162525020379056
37.28,-0.0031203833526297,0.599705638584346,0.600294361415654,0.6,0.00294361415653865
37.29,-0.00304698539926954,0.599573297510409,0.600426702489591,0.6,0.00426702489590758
37.3,-0.00297351127143305,0.59944045506633,0.60055954493367,0.6,0.00559544933669942
37.31,-0.00289996280596969,0.599307114573165,0.600692885426835,0.6,0.00692885426835432
37.32,-0.00282634184158722,0.599173279364416,0.600826720635584,0.6,0.00826720635583533
37.33,-0.00275265021880592,0.59903895278596,0.60096104721404,0.6,0.00961047214040445
37.34,-0.00267888977991246,0.598904138195951,0.601095861804049,0.6,0.0109586180404941
37.35,-0.00260506236891408,0.598768838964749,0.601231161035251,0.6,0.0123116103525078
37.36,-0.00253116983149216,0.598633058474827,0.601366941525173,0.6,0.0136694152517258
37.37,-0.00245721401495628,0.598496800120691,0.601503199879309,0.6,0.0150319987930914
37.38,-0.00238319676819796,0.598360067308791,0.601639932691209,0.6,0.0163993269120921
37.39,-0.00230911994164461,0.598222863457442,0.601777136542558,0.6,0.0177713654255796
37.4,-0.00223498538721298,0.598085191996732,0.601914808003268,0.6,0.0191480800326793
37.41,-0.00216079495826303,0.59794705636844,0.60205294363156,0.6,0.0205294363155972
37.42,-0.00208655050955171,0.597808460025952,0.602191539974048,0.6,0.0219153997404831
37.43,-0.00201225389718633,0.597669406434166,0.602330593565834,0.6,0.0233059356583376
37.44,-0.00193790697857833,0.597529899069417,0.602470100930583,0.6,0.0247010093058309
